19
Color index: 4.25, color rate: -0.25, trans_rate: -3.35
Color index: 4.0, color rate: -0.25, trans_rate: -3.35
Color index: 3.75, color rate: -0.25, trans_rate: -3.35
Color index: 3.5, color rate: -0.25, trans_rate: -3.35
Color index: 3.25, color rate: -0.25, trans_rate: -3.35
Color index: 3.0, color rate: -0.25, trans_rate: -3.35
Color index: 2.75, color rate: -0.25, trans_rate: -3.35
Color index: 2.5, color rate: -0.25, trans_rate: -3.35
Color index: 2.25, color rate: -0.25, trans_rate: -3.35
Color index: 2.0, color rate: -0.25, trans_rate: -3.35
Color index: 1.75, color rate: -0.25, trans_rate: -3.35
Color index: 1.5, color rate: -0.25, trans_rate: -3.35
Color index: 1.25, color rate: -0.25, trans_rate: -3.35
Color index: 1.0, color rate: -0.25, trans_rate: -3.35
Color index: 0.75, color rate: -0.25, trans_rate: -3.35
Color index: 0.5, color rate: -0.25, trans_rate: -3.35
Color index: 0.25, color rate: -0.25, trans_rate: -3.35
Color index: 0.0, color rate: -0.25, trans_rate: -3.35
Color index: 0, color rate: -0.25, trans_rate: -3.35
Color index: 3 errorper: 0.608810561084error: -4.279907464
Color index: 0.15, color rate: 0.15, trans_rate: 2.4
Color index: 0.3, color rate: 0.15, trans_rate: 2.4
Color index: 0.45, color rate: 0.15, trans_rate: 2.4
Color index: 0.6, color rate: 0.15, trans_rate: 2.4
Color index: 0.75, color rate: 0.15, trans_rate: 2.4
Color index: 0.9, color rate: 0.15, trans_rate: 2.4
Color index: 1.05, color rate: 0.15, trans_rate: 2.4
Color index: 1.2, color rate: 0.15, trans_rate: 2.4
Color index: 1.35, color rate: 0.15, trans_rate: 2.4
Color index: 1.5, color rate: 0.15, trans_rate: 2.4
Color index: 1.65, color rate: 0.15, trans_rate: 2.4
Color index: 1.8, color rate: 0.15, trans_rate: 2.4
Color index: 1.95, color rate: 0.15, trans_rate: 2.4
Color index: 2.1, color rate: 0.15, trans_rate: 2.4
Color index: 2.25, color rate: 0.15, trans_rate: 2.4
Color index: 2.4, color rate: 0.15, trans_rate: 2.4
Color index: 2.55, color rate: 0.15, trans_rate: 2.4
Color index: 2.7, color rate: 0.15, trans_rate: 2.4
